customer_id,num_offers_redeemed,avg_days_between_redemptions,avg_spend_per_offer,distinct_offer_types_used,referrals_count,num_accounts_same_device,fraud_flag,signup_day_index
1,5,14.429530339124332,86.8500614567526,1,0,3,0,203
2,4,19.08267752424859,98.71006686635927,5,1,2,0,205
3,4,6.2421411237086915,79.51677985134538,1,0,2,0,195
4,5,11.738364381160192,72.3985917634397,5,3,1,0,18
5,5,13.213250322657311,66.93896145953752,1,1,1,0,188
6,3,13.620955834502263,72.67970248463008,5,0,2,0,357
7,5,10.570377582441633,68.3688221281781,1,0,2,0,221
8,4,8.125894548492344,35.51917281514516,2,2,3,0,220
9,6,3.5094760623102452,86.60819495263061,5,1,3,0,319
10,7,19.834269820555644,61.71340419043304,2,2,3,0,154
11,2,18.183054954869824,108.75023645378339,3,0,3,0,291
12,5,9.11224025041346,115.32642032183392,4,1,2,0,184
13,5,11.827495940266065,54.980188229584925,3,1,2,0,163
14,6,9.3119669220719,64.09295597855362,3,1,3,0,133
15,4,10.549461345999552,51.3942279508334,5,0,3,0,349
16,6,11.169523545441724,40.93453222503007,5,0,3,0,307
17,6,6.881730810183835,58.8506435961595,3,1,1,0,89
18,1,11.453134949479521,60.65445973220823,1,2,1,0,117
19,7,12.197540262738768,33.92364756367532,4,0,1,0,38
20,2,5.1855782405925375,37.62878086822566,2,0,2,0,281
21,11,8.862550996927979,10.0,2,1,1,0,95
22,4,6.120229953885414,36.62597498575028,1,0,1,0,128
23,3,7.553036325134399,76.90369218135193,4,0,3,0,281
24,8,10.794838902731671,88.86435383167452,1,1,1,0,74
25,3,11.127860538966326,20.57525524300621,2,2,2,0,229
26,3,11.158269535180546,33.19746037214672,1,0,1,0,341
27,15,10.061256063628445,84.53713850707562,5,0,5,1,121
28,8,13.010225470864526,42.92769295114267,2,0,1,0,40
29,3,13.309834283665428,50.77580998407489,5,0,3,0,30
30,2,12.248717506264278,46.24954244877316,4,0,3,0,51
31,5,6.012685750116431,78.33891135774573,5,1,3,0,108
32,3,11.290842636036986,93.47358233750934,1,1,3,0,152
33,8,11.805985044473836,61.4730614348952,4,1,1,0,8
34,10,14.740114046409754,51.219949056197436,3,0,2,0,8
35,3,7.356498465861809,55.5762713946439,4,2,3,0,188
36,10,3.1743889201689086,77.83691708322033,3,0,4,1,301
37,20,3.723469373817069,70.50335844328194,3,3,2,1,113
38,7,9.121762047480493,54.98786351374635,4,0,1,0,63
39,6,10.61034582780865,59.126274558025166,3,1,2,0,361
40,6,7.008091046928339,45.64258243783346,5,0,3,0,68
41,2,15.103950157227445,46.62731136848774,5,1,2,0,237
42,4,7.8517918557928645,32.03141442614303,4,2,2,0,130
43,9,14.557076930414123,82.91260281741208,3,0,1,0,361
44,7,10.016010877661358,14.717519413089725,1,2,1,0,278
45,11,9.9233000613291,65.57799642342482,4,2,3,0,163
46,8,15.23415598043379,59.46569756329586,3,0,3,0,295
47,3,14.367939197449555,58.12012259997747,3,2,3,0,352
48,2,13.679134492774125,47.75457131588742,3,2,2,0,57
49,3,4.943316877934906,54.12216084786045,1,1,3,0,69
50,4,16.75836306068267,95.1995385459423,5,0,2,0,65
51,5,17.741517896231045,61.462353973894665,2,1,2,0,175
52,5,10.815849848292443,63.230586441398636,1,0,3,0,346
53,4,8.012830683524289,63.864131472094435,2,0,2,0,87
54,3,7.021808102114627,45.96985719765682,5,0,3,0,233
55,8,10.658670707552869,48.640561079117134,3,2,1,0,273
56,2,7.492711864227464,70.5443774825975,2,1,2,0,227
57,1,10.974574834407376,43.18976391985058,2,0,2,0,109
58,4,9.630841423755065,58.06685752145619,1,2,3,0,112
59,5,6.511502468021577,83.23121640767192,5,1,3,0,69
60,16,3.053375808922029,46.592966095019186,4,1,2,1,221
61,3,12.205981715404127,57.805189572301934,2,0,3,0,187
62,4,8.210272801477823,54.4492115984016,1,1,2,0,89
63,32,2.6129748125225007,70.04881406560084,3,0,2,1,157
64,2,15.438785303391178,62.90677810160987,5,0,1,0,99
65,2,8.855256717840271,46.321322078671884,3,0,2,0,113
66,2,8.149587702246409,49.34296703690974,3,1,1,0,137
67,7,12.346898126962186,47.19611390038688,4,1,1,0,266
68,6,16.514522370930777,45.58399147190407,2,1,2,0,79
69,7,13.59727292025848,24.916654232599598,4,0,3,0,363
70,18,2.295330363186978,63.62105219600171,1,1,4,1,20
71,7,9.167668459110432,46.614724446787214,4,2,2,0,182
72,6,9.915152286835594,69.67268603390295,1,2,2,0,231
73,4,10.551561667753639,61.69142298244236,2,0,2,0,275
74,2,21.853983451817804,52.44815405397522,2,0,3,0,99
75,9,3.0923337170321252,50.814446550899476,4,0,4,1,235
76,4,19.15188762880687,33.59048141779643,3,1,1,0,36
77,7,15.278267898887355,62.58604685406348,4,2,2,0,357
78,4,1.8728640458244268,58.33686465018908,5,3,2,0,314
79,3,9.94734289992944,47.53550574945473,2,1,1,0,286
80,2,11.709497218040267,20.346986708453677,5,2,3,0,338
81,6,12.650586464892001,55.88423813951626,5,2,2,0,285
82,3,12.254387973402094,57.37124936145793,5,0,2,0,234
83,5,5.097008611595995,82.04105452048674,3,0,2,0,345
84,9,4.943192077584183,60.75059302604921,2,0,2,0,201
85,6,11.809571555375925,83.82053367669991,2,4,3,0,188
86,6,10.364433456026521,47.42556201093172,2,1,1,0,292
87,9,17.081465395375833,54.68770622881459,4,2,1,0,227
88,4,12.009488194011901,39.84294263085843,1,0,2,0,54
89,9,15.065017184404383,54.69636813045715,2,1,2,0,161
90,2,14.588003473482544,76.53433953126083,3,1,3,0,324
91,30,3.904462991859394,77.10640647255778,3,1,4,1,306
92,6,16.40654092048732,64.43935949110478,1,1,2,0,25
93,9,10.132679365351674,33.09256875230713,4,1,2,0,167
94,4,11.779619472296238,31.896150197915567,3,0,1,0,9
95,1,12.265868337344578,55.02780937724691,1,1,3,0,242
96,6,8.609598311958267,46.42847213572621,3,1,2,0,40
97,8,7.3523778791453624,73.26254221899296,1,0,3,0,166
98,6,6.83897156971458,69.47309202364542,3,0,1,0,206
99,6,2.60275714904382,66.89519129715171,4,1,3,1,111
100,9,3.8162770503284684,48.566129575448194,4,1,3,1,231
101,5,13.221415654941056,62.94974279594349,3,1,2,0,49
102,3,6.96033308468504,66.67971338409777,3,0,3,0,191
103,3,12.212922630167782,53.134889899243454,5,0,2,0,57
104,5,10.973279477030884,55.208635571484685,2,2,1,0,74
105,6,15.708748297786293,66.06710502218274,4,2,3,0,107
106,5,9.97839372863773,38.10388045391217,3,0,3,0,131
107,3,18.338423552291218,48.43272696064484,2,1,2,0,233
108,5,15.04618168284136,46.83626658869652,3,0,1,0,286
109,3,10.667847284539281,79.69555604396892,2,1,3,0,227
110,3,9.806228199371523,49.35454474074642,2,0,2,0,128
111,6,15.54325404807958,60.552731794007634,4,1,2,0,186
112,5,10.66237992701805,72.9157326106545,5,1,2,0,27
113,6,12.152258695751232,44.82697873013395,1,0,2,0,61
114,2,9.955519753028181,77.51927679515086,3,1,2,0,319
115,4,9.773518947438726,79.23150816579044,2,0,1,0,83
116,28,3.553581790866197,17.521906464298112,5,1,2,1,314
117,6,17.475290915450557,67.12768076123996,2,2,3,0,246
118,20,2.6048447622164086,80.68921603454777,3,0,2,1,145
119,4,12.538315010819822,52.311772884146805,1,0,1,0,260
120,3,13.964376358789075,70.80209433619112,4,0,1,0,228
121,3,17.427350844089382,33.51040248089888,1,2,3,0,149
122,7,9.764282710802267,28.306193419513708,4,2,1,0,314
123,7,2.787519599373823,51.51843996797593,2,2,2,0,267
124,6,12.363543939473088,40.48591871157614,5,0,2,0,336
125,6,13.996640828658895,67.12690814959109,4,1,1,0,274
126,7,9.836279147413483,66.48028657477761,2,0,3,0,273
127,8,14.19302344361895,95.24653408191914,3,0,1,0,318
